"v001","lat","lon"
1,6.732517,8.002321
2,7.247508,8.657348
3,7.358567,8.489307
4,6.864353,8.890684
5,6.950979,8.345339
6,7.125691,7.845279
7,7.753443,9.607372
8,7.756097,8.553325
9,9.078009,7.175687
10,9.088659,7.320356
11,9.119989,7.431838
12,7.62706,7.247781
13,8.220897,6.166906
14,7.30694,7.702293
15,7.574197,6.230748
16,7.807597,6.732921
17,7.549979,6.24351
18,7.571542,6.713347
19,8.398275,4.41278
20,8.843017,4.806814
21,8.729697,4.800638
22,8.483042,4.54455
23,8.131064,5.101331
24,8.190134,8.29228
25,8.592569,8.331702
26,8.445215,8.708215
27,8.943237,8.619322
28,10.31798,4.475289
29,9.31313,6.388657
30,9.37309,5.857228
31,10.189917,4.903465
32,9.618284,7.136373
33,10.236503,6.853399
34,9.597524,6.533614
35,9.339002,9.578892
36,9.621903,8.734232
37,9.937338,8.856895
38,9.89475,8.890752
39,9.314392,9.443204
40,9.822045,8.651635
41,8.557235,11.996187
42,9.673816,11.855174
43,10.788272,13.491655
44,10.324478,13.299291
45,9.945494,12.44966
46,10.621779,13.384483
47,9.220901,12.439493
48,11.494958,10.791508
49,11.842771,10.810898
50,11.587013,10.245409
51,11.724402,10.236059
52,11.232544,9.390048
53,11.448887,9.900244
54,10.35295,9.672988
55,10.324984,10.208769
56,11.466238,10.611783
57,10.640084,12.917827
58,10.902442,12.802034
59,12.972669,13.282003
60,12.157663,14.37509
61,12.047764,13.623833
62,12.421884,13.188141
63,12.824601,13.186672
64,12.478131,12.468787
65,11.816776,13.126814
66,9.623815,11.357814
67,10.927322,10.687318
68,10.426164,10.965113
69,10.091919,11.264428
70,10.285392,11.19457
71,8.132177,10.493168
72,8.273705,9.793967
73,6.542209,11.196942
74,7.713728,9.892506
75,7.865301,9.780477
76,11.070566,11.421082
77,11.355929,12.161721
78,13.017313,10.619727
79,13.191671,11.240271
80,12.874771,10.461124
81,11.418123,9.452337
82,11.146026,9.887757
83,12.294818,10.131081
84,12.589549,9.888696
85,10.572324,6.210254
86,11.359338,7.955414
87,10.266653,7.836212
88,10.466342,8.573512
89,11.058023,7.923961
90,10.033345,7.123666
91,10.527146,7.453267
92,11.05812,7.703629
93,11.696503,8.287681
94,11.892669,8.686374
95,11.577307,8.902605
96,11.790579,8.239196
97,11.781657,8.434132
98,12.042057,8.223351
99,12.026496,8.330692
100,11.812156,8.86605
101,11.99642,8.514462
102,12.023289,8.570092
103,12.78744,7.92969
104,11.671409,7.29993
105,13.17727,7.713316
106,12.041367,7.713127
107,11.393078,7.13364
108,12.849162,8.746168
109,13.057727,8.504643
110,12.996569,4.639867
111,12.434628,4.545212
112,11.492791,4.540254
113,12.890081,5.296415
114,13.75809,5.315405
115,12.682169,5.190939
116,12.710833,4.971851
117,13.04628,5.270134
118,12.162603,6.820543
119,12.535684,6.628641
120,11.720231,6.835759
121,5.804339,7.592014
122,5.294386,7.366824
123,5.123332,7.408782
124,4.943722,7.276959
125,5.07848,7.368509
126,5.265571,7.329655
127,5.541505,7.452823
128,6.071721,6.995332
129,5.884801,6.814762
130,6.104241,7.029983
131,6.516487,6.960708
132,6.077368,6.981079
133,5.931052,6.833928
134,6.02423,6.904532
135,6.142777,6.775678
136,6.176059,6.884398
137,5.765176,7.832354
138,6.005484,8.070874
139,5.96377,7.582331
140,5.986411,7.807239
141,6.130823,7.774852
142,6.020529,8.119307
143,6.400117,7.380499
144,6.956676,7.429002
145,6.288412,7.532193
146,6.31821,7.387271
147,6.443654,7.501441
148,6.408199,7.529082
149,6.348039,7.482435
150,6.849821,7.45601
151,5.530585,7.214347
152,5.48118,7.368038
153,5.648897,7.412635
154,5.666752,7.108554
155,5.659154,7.051812
156,5.665886,7.086983
157,5.456439,6.815875
158,5.746929,7.036544
159,5.840097,7.198319
160,5.532783,6.975436
161,4.990432,7.794041
162,5.130846,7.618569
163,4.922886,7.931678
164,4.578965,7.620035
165,4.593795,8.306769
166,5.200888,7.574349
167,4.887476,7.759809
168,5.041625,7.944945
169,4.333322,5.983744
170,4.805707,6.335797
171,4.921934,6.341854
172,5.0192,6.305483
173,4.916046,8.475463
174,6.175264,9.076679
175,5.959396,8.268083
176,5.935648,8.1091
177,4.92243,8.316339
178,5.45245,5.748918
179,5.259904,5.47075
180,6.13535,6.173596
181,5.645299,6.344194
182,5.861285,6.188596
183,6.252299,6.203391
184,5.886476,5.67311
185,5.532777,5.748346
186,7.398828,6.230781
187,7.257271,6.326709
188,6.765351,5.5255
189,6.366156,5.837464
190,6.71294,6.315918
191,6.306622,5.638871
192,5.040515,6.580595
193,4.492775,7.421815
194,4.817972,6.869577
195,5.04145,6.852819
196,4.897561,7.034851
197,4.669144,7.173183
198,4.745698,6.863353
199,4.667134,7.265522
200,4.761146,7.025899
201,7.611381,5.013745
202,7.683476,5.39401
203,7.633059,5.230588
204,7.671106,5.136131
205,6.60483,3.604084
206,6.449656,3.3369
207,6.651542,3.252447
208,6.437308,3.276451
209,6.459945,3.345383
210,6.405217,4.14452
211,6.610265,3.355644
212,6.53759,3.397685
213,6.511351,3.398575
214,6.549288,3.350442
215,6.467271,3.132227
216,6.59112,3.344272
217,6.512438,3.348767
218,7.368521,2.886579
219,6.990041,3.695853
220,6.674595,2.959729
222,6.948733,3.912165
223,7.391938,5.705311
224,7.18216,4.788941
225,7.036462,4.753544
226,7.459292,5.73367
227,6.436361,4.929109
228,7.813293,4.459917
229,7.785788,4.178975
230,7.883217,4.701779
231,7.91609,4.674685
232,7.761336,4.892631
233,8.488854,3.148879
234,7.374762,3.792233
235,7.917198,3.29425
236,7.383139,3.96411
237,7.385056,3.8949
238,7.407212,3.906515
239,8.127695,4.241894
240,8.666144,3.367649
